EXTF;700;21;Kassenexport;Buchungen;20250904;;;;;;;
"Umsatz (ohne Soll/Haben-Kz)";Soll/Haben-Kennzeichen;"WKZ Umsatz";Kurs;Basisumsatz;"WKZ Basisumsatz";Konto;Gegenkonto;BU-Schlüssel;"Belegfeld 1";"Belegfeld 2";Buchungstext;Belegdatum;Buchungstyp;Kassen-Nr
75,00;H;EUR;;;;9999;9999;;RE202521-0441;441;Silvestermenü;20241231;Ausgabe;1
400,00;S;EUR;;;;9999;9999;;RE202521-0264;264;"Kasse Einlage";20250101;Einlage;1
400,00;H;EUR;;;;9999;9999;;RE202521-0255;255;Tagesbedarf;20250131;Ausgabe;1
400,00;S;EUR;;;;9999;9999;;RE202521-0265;265;"Kasse Einlage";20250201;Einlage;1
400,00;H;EUR;;;;9999;9999;;RE202521-0256;256;"Tagesbedarfe Februar";20250228;Ausgabe;1
400,00;S;EUR;;;;9999;9999;;RE202521-0266;266;"Kasse Einlage";20250301;Einlage;1
10,00;H;EUR;;;;9999;9999;;RE202521-0253;253;"Spohn Tennis 1 Stunde";20250329;Ausgabe;1
390,00;H;EUR;;;;9999;9999;;RE202521-0257;257;"Tagesbedarfe März";20250331;Ausgabe;1
400,00;S;EUR;;;;9999;9999;;RE202521-0267;267;"Kasse Einlage";20250401;Einlage;1
26,57;H;EUR;;;;9999;9999;;RE202521-0251;251;Tagesbedarf;20250417;Ausgabe;1
14,00;H;EUR;;;;9999;9999;;RE202521-0252;252;Verschiedenes;20250421;Ausgabe;1
13,00;H;EUR;;;;9999;9999;;RE202521-0009;9;Tagesbedarf;20250423;Ausgabe;1
10,59;H;EUR;;;;9999;9999;;RE202521-0001;1;Tagesbedarf;20250424;Ausgabe;1
4,00;H;EUR;;;;9999;9999;;RE202521-245;245;Verlängerungskabel;20250427;Ausgabe;1
10,00;H;EUR;;;;9999;9999;;RE202521-0247;247;Socken;20250427;Ausgabe;1
2,56;H;EUR;;;;9999;9999;;RE202521-244;244;"CDs und DVDs";20250428;Ausgabe;1
5,67;H;EUR;;;;9999;9999;;RE202521-0248;248;Tagesbedarf;20250429;Ausgabe;1
289,36;H;EUR;;;;9999;9999;;RE202521-0268;268;"Tagesbedarfe April";20250430;Ausgabe;1
14,25;H;EUR;;;;9999;9999;;RE202521-0249;249;Tagesbedarf;20250430;Ausgabe;1
10,00;H;EUR;;;;9999;9999;;RE202521-0250;250;"Spohn 1 Stunde Tennis";20250430;Ausgabe;1
62,50;H;EUR;;;;9999;9999;;RE202521-0258;258;"Inder Geburtstag";20250501;Ausgabe;1
12,51;H;EUR;;;;9999;9999;;RE202521-0260;260;Tagesbedarf;20250502;Ausgabe;1
400,00;S;EUR;;;;9999;9999;;RE202521-0261;261;"Kasse Einlage";20250502;Einlage;1
11,00;H;EUR;;;;9999;9999;;RE202521-0263;263;"kleine Heizung, Insektenfänger, DVD";20250504;Ausgabe;1
1,74;H;EUR;;;;9999;9999;;RE202521-0262;262;Tagesbedarf;20250505;Ausgabe;1
33,00;H;EUR;;;;9999;9999;;RE202521-0270;270;Essen;20250506;Ausgabe;1
10,00;H;EUR;;;;9999;9999;;RE202521-0272;272;"2 Latte Macciato";20250506;Ausgabe;1
200,00;S;EUR;;;;9999;9999;;RE202521-0277;277;"Einlage Urlaub";20250506;Einlage;1
26,00;H;EUR;;;;9999;9999;;RE202521-0279;279;Essen;20250507;Ausgabe;1
20,00;H;EUR;;;;9999;9999;;RE202521-0276;276;Leihe;20250508;Ausgabe;1
30,40;H;EUR;;;;9999;9999;;RE202521-0278;278;Essen;20250508;Ausgabe;1
34,00;H;EUR;;;;9999;9999;;RE202521-0275;275;Essen;20250509;Ausgabe;1
3,50;H;EUR;;;;9999;9999;;RE202521-0280;280;Tagesbedarf;20250509;Ausgabe;1
19,51;H;EUR;;;;1000;3300;8;RE202521-0274;274;Tagesbedarf;20250510;Ausgabe;1
18,54;H;EUR;;;;1000;3300;8;RE202521-0292;292;Tagesbedarf;20250510;Ausgabe;1
5,00;H;EUR;;;;9999;9999;;RE202521-0291;291;"Ajran und Getränk";20250512;Ausgabe;1
13,57;H;EUR;;;;1000;3300;8;RE202521-0289;289;Tagesbedarf;20250514;Ausgabe;1
15,41;H;EUR;;;;1000;3300;8;RE202521-0288;288;Tagesbedarf;20250516;Ausgabe;1
10,00;H;EUR;;;;9999;9999;;RE202521-0286;286;"Darts Scheibe und Kleinigkeiten";20250518;Ausgabe;1
12,41;H;EUR;;;;1000;3300;8;RE202521-0287;287;Tagesbedarf;20250519;Ausgabe;1
5,40;H;EUR;;;;9999;9999;;RE202521-0284;284;"Schampoo und Duschgel";20250520;Ausgabe;1
14,80;H;EUR;;;;9999;9999;;RE202521-0285;285;Essen;20250520;Ausgabe;1
9,74;H;EUR;;;;1000;3300;8;RE202521-0290;290;Tagesbedarf;20250521;Ausgabe;1
8,54;H;EUR;;;;1000;3300;8;RE202521-0283;283;Tagesbedarf;20250522;Ausgabe;1
11,56;H;EUR;;;;1000;3300;8;RE202521-0282;282;Tagesbedarf;20250523;Ausgabe;1
5,00;H;EUR;;;;9999;9999;;RE202521-299;299;"Spohn Tennis 1 Stunde";20250524;Ausgabe;1
13,77;H;EUR;;;;1000;3300;8;RE202521-0293;293;Tagesbedarf;20250526;Ausgabe;1
160,00;H;EUR;;;;9999;9999;;RE202521-0294;294;"Tagesbedarfe Mai";20250531;Ausgabe;1
2,00;H;EUR;;;;9999;9999;;RE202521-0300;300;"Famlienzentrum Mettingen";20250531;Ausgabe;1
400,00;S;EUR;;;;9999;9999;;RE202521-0297;297;"Bareinlage Mai";20250601;Einlage;1
2,51;H;EUR;;;;1000;3300;8;RE202521-0296;296;Tagesbedarf;20250603;Ausgabe;1
9,91;H;EUR;;;;1000;3300;8;RE202521-0298;298;Tagesbedarf;20250603;Ausgabe;1
5,01;H;EUR;;;;1000;3300;8;RE202521-0301;301;Tagesbedarf;20250604;Ausgabe;1
6,61;H;EUR;;;;1000;3300;8;RE202521-0303;303;Tagesbedarf;20250605;Ausgabe;1
8,00;H;EUR;;;;9999;9999;;RE202521-0304;304;"Döner Obertürkheim";20250605;Ausgabe;1
